school,title,county_difference,title_difference,nontitle_difference
Thrasher Elementary,0,-1091.8142,-1255.180222,-856.4279309
Dupont Elementary,1,-948.8560158,-1112.222037,-713.4697465
Ooltewah High,0,-857.7629744,-1021.128996,-622.3767051
Ganns Middle Valley Elementary,0,-790.5770262,-953.9430478,-555.1907569
Ooltewah Elementary,0,-787.6937581,-951.0597797,-552.3074888
East Ridge Elementary,1,-785.0945173,-948.4605388,-549.708248
Allen Elementary,0,-784.0621243,-947.4281459,-548.675855
Harrison Elementary,1,-751.8440051,-915.2100266,-516.4577357
McConnell Elementary,0,-741.5677087,-904.9337302,-506.1814393
Daisy Elementary,1,-619.3526723,-782.7186938,-383.9664029
East Ridge Middle,1,-566.118651,-729.4846726,-330.7323817
Orchard Knob Elementary,1,-564.6923065,-728.058328,-329.3060371
Hunter Middle,0,-559.0678491,-722.4338707,-323.6815798
East Lake Elementary,1,-534.244233,-697.6102545,-298.8579636
Red Bank Elementary,1,-501.8172116,-665.1832332,-266.4309423
Hixson Middle,1,-471.7524182,-635.1184398,-236.3661489
Hardy Elementary,1,-457.6842535,-621.050275,-222.2979842
Clifton Hills Elementary,1,-378.1832346,-541.5492561,-142.7969653
East Hamilton School,0,-378.0928806,-541.4589022,-142.7066113
STEM School Chattanooga,0,-372.0735005,-535.439522,-136.6872311
Spring Creek Elementary,1,-355.5613902,-518.9274118,-120.1751209
CSAS Upper,0,-348.9840626,-512.3500841,-113.5977932
East Side Elementary,1,-327.0541694,-490.420191,-91.66790008
Big Ridge Elementary,0,-309.857018,-473.2230396,-74.47074868
Ooltewah Middle,1,-241.9118095,-405.2778311,-6.525540183
Central High,1,-241.7985717,-405.1645933,-6.412302386
East Brainerd Elementary,1,-232.0610794,-395.4271009,3.325189932
East Lake Academy,1,-209.5250032,-372.8910247,25.86126613
Red Bank Middle,1,-204.7020363,-368.0680578,30.68423307
Tyner Middle Academy,1,-200.5300343,-363.8960559,34.85623502
Wallace A. Smith Elementary,0,-182.9223031,-346.2883247,52.46396623
Center For Creative Arts,0,-157.1981908,-320.5642123,78.18807856
Bess T Shepherd Elementary,1,-134.6564991,-298.0225207,100.7297702
Alpine Crest Elementary,1,-121.6108004,-284.976822,113.7754689
Snow Hill Elementary,1,-39.94704631,-203.3130679,195.439223
Nolan Elementary,0,-15.40514695,-178.7711685,219.9811224
Soddy Daisy High,0,10.27328415,-153.0927374,245.6595535
Westview Elementary,0,76.01557402,-87.35044753,311.4018434
Hixson High,1,133.3310212,-30.03500037,368.7172905
Apison Elementary,0,135.7613247,-27.60469689,371.147594
Normal Park Museum Magnet,0,192.1247632,28.7587417,427.5110326
North Hamilton Elementary,1,200.6726335,37.30661196,436.0589028
Wolftever Creek Elementary,1,203.3964099,40.03038832,438.7826792
East Ridge High,1,221.6331376,58.26711607,457.019407
Signal Mountain Middle/High,0,255.491456,92.12543443,490.8777253
Loftis Middle,0,264.2465107,100.8804891,499.63278
Lakeside Academy,1,324.5321715,161.16615,559.9184409
Red Bank High,1,336.9482344,173.5822129,572.3345038
Woodmore Elementary,1,338.3347809,174.9687593,573.7210502
Soddy Daisy Middle,1,352.2240653,188.8580438,587.6103347
Sale Creek Middle/High,0,391.943448,228.5774265,627.3297174
Barger Academy,1,396.8864855,233.520464,632.2727549
Hillcrest Elementary,1,478.4570234,315.0910019,713.8432928
Soddy Elementary,1,482.0913603,318.7253388,717.4776296
Brown Middle,1,559.7885255,396.4225039,795.1747948
Tyner Academy,1,582.3112268,418.9452052,817.6974961
CSLA,0,633.6340347,470.2680131,869.020304
Calvin Donaldson,1,707.599252,544.2332304,942.9855213
Lookout Mountain Elementary,0,741.2278312,577.8618097,976.6141005
Orchard Knob Middle,1,827.6624944,664.2964729,1063.048764
Battle Academy,1,984.7212669,821.3552453,1220.107536
The Howard School,1,1172.841721,1009.4757,1408.227991
Dalewood Middle,1,1199.343909,1035.977888,1434.730179
CSAS Lower,0,1226.447319,1063.081297,1461.833588
Falling Water Elementary,1,1273.651544,1110.285523,1509.037814
Brown Academy,1,1434.729945,1271.363923,1670.116214
Lookout Valley Elementary,1,1530.763766,1367.397744,1766.150035
Hixson Elementary,1,1563.944161,1400.578139,1799.33043
Hamilton County High,0,1777.066039,1613.700018,2012.452309
Brainerd High,1,2107.956241,1944.590219,2343.34251
Sequoyah High,1,2116.156341,1952.79032,2351.54261
Lookout Valley Middle/High,1,2529.596746,2366.230725,2764.983016
Rivermont Elementary,1,2583.982572,2420.61655,2819.368841