quad,description,school,2008_difference,2016_difference,net_difference,title
3,GETTING WORSE; DECREASE,Allen Elementary,-0.08,-0.13,-0.05,0
4,GETTING BETTER; DECREASE,Alpine Crest Elementary,0.15,-0.03,-0.18,1
2,GETTER BETTER; INCREASE,Apison Elementary,-0.11,0.02,0.13,0
1,GETTING WORSE; INCREASE,Barger Academy,0.06,0.07,0.01,1
1,GETTING WORSE; INCREASE,Battle Academy,-0.004,0.16,0.17,1
2,GETTER BETTER; INCREASE,Bess T. Shepherd Elementary,-0.08,-0.03,0.06,1
3,GETTING WORSE; DECREASE,Big Ridge Elementary,-0.02,-0.06,-0.04,0
1,GETTING WORSE; INCREASE,Brainerd High,0.04,0.38,0.34,1
1,GETTING WORSE; INCREASE,Brown Academy,0.002,0.23,0.23,1
4,GETTING BETTER; DECREASE,Brown Middle,0.16,0.1,-0.06,1
1,GETTING WORSE; INCREASE,Calvin Donaldson,0.01,0.1,0.09,1
2,GETTER BETTER; INCREASE,Central High,-0.11,-0.03,0.08,1
4,GETTING BETTER; DECREASE,CCA,0.17,-0.03,-0.19,0
4,GETTING BETTER; DECREASE,CSLA,0.36,0.11,-0.25,0
2,GETTER BETTER; INCREASE,Clifton Hills Elementary,-0.21,-0.08,0.12,1
3,GETTING WORSE; DECREASE,Daisy Elementary,-0.04,-0.12,-0.08,1
1,GETTING WORSE; INCREASE,Dalewood Middle,0.03,0.2,0.17,1
3,GETTING WORSE; DECREASE,Dupont Elementary,0.01,-0.18,-0.19,1
3,GETTING WORSE; DECREASE,East Brainerd Elementary,0.02,-0.05,-0.07,1
4,GETTING BETTER; DECREASE,East Lake Academy,0.13,-0.04,-0.17,1
3,GETTING WORSE; DECREASE,East Lake Elementary,0.11,-0.12,-0.23,1
3,GETTING WORSE; DECREASE,East Ridge Elementary,0.01,-0.16,-0.17,1
1,GETTING WORSE; INCREASE,East Ridge High,0.01,0.04,0.03,1
3,GETTING WORSE; DECREASE,East Ridge Middle,-0.04,-0.09,-0.05,1
3,GETTING WORSE; DECREASE,East Side Elementary,-0.07,-0.08,-0.004,1
1,GETTING WORSE; INCREASE,Falling Water Elementary,-0.01,0.23,0.24,1
3,GETTING WORSE; DECREASE,Ganns Middle Valley Elementary,-0.03,-0.15,-0.12,0
1,GETTING WORSE; INCREASE,Hamilton County High,-0.07,0.34,0.41,0
3,GETTING WORSE; DECREASE,Hardy Elementary,-0.05,-0.1,-0.05,1
3,GETTING WORSE; DECREASE,Harrison Elementary,0.1,-0.14,-0.25,1
2,GETTER BETTER; INCREASE,Hillcrest Elementary,-0.17,0.07,0.24,1
1,GETTING WORSE; INCREASE,Hixson Elementary,0.09,0.26,0.17,1
4,GETTING BETTER; DECREASE,Hixson High,0.19,0.02,-0.17,1
4,GETTING BETTER; DECREASE,Hixson Middle,0.13,-0.09,-0.22,1
1,GETTING WORSE; INCREASE,Howard,-0.04,0.21,0.25,1
3,GETTING WORSE; DECREASE,Hunter Middle,-0.04,-0.1,-0.06,0
2,GETTER BETTER; INCREASE,Lakeside Academy,-0.07,0.04,0.12,1
2,GETTER BETTER; INCREASE,Loftis Middle,-0.09,0.06,0.15,0
4,GETTING BETTER; DECREASE,Lookout Mountain Elementary,0.9,0.12,-0.78,0
1,GETTING WORSE; INCREASE,Lookout Valley Elementary,-0.06,0.24,0.3,1
1,GETTING WORSE; INCREASE,Lookout Valley Middle/High,0.35,0.47,0.11,1
3,GETTING WORSE; DECREASE,McConnell Elementary,0.07,-0.14,-0.21,0
2,GETTER BETTER; INCREASE,Nolan Elementary,-0.12,-0.01,0.11,0
4,GETTING BETTER; DECREASE,Normal Park,0.27,0.03,-0.24,0
4,GETTING BETTER; DECREASE,North Hamilton Elementary,0.07,0.02,-0.05,1
3,GETTING WORSE; DECREASE,Ooltewah Elementary,-0.02,-0.15,-0.13,0
2,GETTER BETTER; INCREASE,Ooltewah High,-0.22,-0.14,0.08,0
2,GETTER BETTER; INCREASE,Ooltewah Middle,-0.12,-0.04,0.08,1
3,GETTING WORSE; DECREASE,Orchard Knob Elementary,0.01,-0.07,-0.08,1
4,GETTING BETTER; DECREASE,Orchard Knob Middle,0.22,0.12,-0.1,1
2,GETTER BETTER; INCREASE,Red Bank Elementary,-0.12,-0.1,0.02,1
4,GETTING BETTER; DECREASE,Red Bank High,0.15,0.07,-0.07,1
2,GETTER BETTER; INCREASE,Red Bank Middle,-0.06,-0.03,0.03,1
1,GETTING WORSE; INCREASE,Rivermont Elementary,0.01,0.42,0.4,1
4,GETTING BETTER; DECREASE,Sale Creek Middle/High,0.18,0.09,-0.09,0
1,GETTING WORSE; INCREASE,Sequoyah High,0.3,0.39,0.09,1
2,GETTER BETTER; INCREASE,Snow Hill Elementary,-0.02,-0.01,0.01,1
2,GETTER BETTER; INCREASE,Soddy Daisy High,-0.15,0.02,0.16,0
4,GETTING BETTER; DECREASE,Soddy Daisy Middle,0.09,0.06,-0.02,1
1,GETTING WORSE; INCREASE,Soddy Elementary,0.01,0.07,0.05,1
2,GETTER BETTER; INCREASE,Spring Creek Elementary,-0.17,-0.07,0.1,1
3,GETTING WORSE; DECREASE,Thrasher Elementary,-0.07,-0.19,-0.12,0
4,GETTING BETTER; DECREASE,Tyner Academy,0.14,0.12,-0.02,1
4,GETTING BETTER; DECREASE,Tyner Middle Academy,0.14,-0.03,-0.17,1
2,GETTER BETTER; INCREASE,Wallace A. Smith Elementary,-0.05,-0.03,0.02,0
1,GETTING WORSE; INCREASE,Westview Elementary,-0.001,0.01,0.02,0
2,GETTER BETTER; INCREASE,Wolftever Creek Elementary,-0.02,0.01,0.03,1
1,GETTING WORSE; INCREASE,Woodmore Elementary,0.03,0.05,0.01,1