year,Property tax,Sales tax,Hamilton County,Tennessee,U.S.,adm
1998,60250143,39722306,112783463,86943805,16937607,43025
1999,62004677,41670500,117580786,89726632,23097096,41486
2000,80577990,43978772,138715755,88815187,24421328,41453
2001,84610771,44342013,144044569,86204187,28044797,40966
2002,87320961,44425220,150996879,86500280,32414900,40641
2003,92875217,44393005,153154188,88676018,32108067,40634
2004,92637725,46037725,155590612,92093521,37991756,40191
2005,98459829,51047620,167359993,95759685,39585871,39929
2006,107934700,54291517,180522313,96457884,40361742,40066
2007,111538683,56991614,187147194,103189213,41476140,40007
2008,113585413,57840719,189252554,115802332,40778799,39852
2009,118352443,55505018,191370409,118148658,41683945,39892
2010,120778435,54953340,193220981,121977888,46298400,40677
2011,121489230,58023163,196773907,126864003,57409763,41615
2012,127411070,61786864,205866266,129573298,53768817,41836
2013,130254574,61771083,207159948,135574063,48598238,42427
2014,130857425,62092778,206659877,138681838,51335595,42385
2015,133728705,66031434,216109207,137071113,50199031,42669