district,average_daily_attendance,median_income_2014,per_pupil_expenses_ada,graduation_rate_pct,econ_disadvantaged_pct,black_students_pct,white_students_pct,hispanic_students_pct,asian_students_pct,limited_english_proficient_pct
State of Tennessee,784481,44361,9374.9,0.878,0.579,0.241,0.649,0.085,0.021,0.046
Anderson County,6089,44199,9535.7,0.97,0.585,0.028,0.949,0.011,0.005,0.002
Bedford County,7956,40989,7756.2,0.928,0.699,0.112,0.668,0.206,0.008,0.094
Benton County,2077,34087,9714.2,0.943,0.502,0.039,0.929,0.021,0.008,null
Bledsoe County,1672,34450,9495.9,0.838,0.835,0.015,0.906,0.068,0.003,0.023
Blount County,10266,46518,8866.9,0.905,0.542,0.03,0.916,0.042,0.007,0.019
Bradley County,9413,41575,8429.3,0.921,0.551,0.036,0.911,0.043,0.006,0.016
Campbell County,null,32616,8290.1,0.876,0.707,0.004,0.978,0.012,0.003,0.006
Cannon County,1883,39438,8401.6,0.881,0.553,0.017,0.952,0.023,0.004,0.005
Carter County,4925,32754,9133.9,0.842,0.766,0.015,0.957,0.019,0.001,0.005
Cheatham County,5962,41028,8412.6,0.901,0.491,0.026,0.928,0.036,0.006,0.011
Chester County,2638,32884,7681.2,0.933,0.4,0.138,0.821,0.03,0.005,0.001
Claiborne County,4074,29812,9283.4,0.904,0.77,0.018,0.964,0.012,0.003,0.002
Clay County,983,30888,9237.5,0.959,0.707,0.018,0.958,0.021,null,0.003
Cocke County,4255,39656,9246.6,0.898,0.762,0.037,0.925,0.032,0.003,0.006
Coffee County,4129,37298,9068.1,0.899,0.574,0.027,0.912,0.052,0.007,0.013
Crockett County,1905,38350,8093.5,0.965,0.624,0.137,0.712,0.144,0.005,0.004
Cumberland County,6801,47434,8490.6,0.917,0.638,0.013,0.925,0.047,0.011,0.018
Davidson County,76206,37219,11496.3,0.816,0.753,0.443,0.307,0.207,0.041,0.162
Decatur County,1458,37409,8907.4,0.895,0.577,0.042,0.904,0.047,0.005,0.011
DeKalb County,2802,45056,7982.5,0.958,0.644,0.018,0.863,0.113,0.003,0.053
Dickson County,7781,41426,8472.8,0.902,0.531,0.081,0.856,0.049,0.008,0.016
Dyer County,3618,55623,8483,0.942,0.601,0.071,0.894,0.031,0.002,0.001
Fayette County,3047,29784,9125.9,0.802,0.806,0.588,0.355,0.05,0.004,0.023
Fentress County,2010,42663,9043.8,0.985,0.747,0.005,0.976,0.012,0.005,0.005
Franklin County,5306,37460,8610.1,0.905,0.577,0.071,0.872,0.045,0.007,0.01
Giles County,3647,38739,8952.3,0.836,0.615,0.172,0.791,0.021,0.009,0.005
Grainger County,3283,34566,8436.4,0.893,0.663,0.007,0.935,0.055,null,null
Greene County,6436,35860,8282.5,0.921,0.661,0.015,0.948,0.031,0.003,0.009
Grundy County,2012,26856,9087.9,0.86,0.812,0.002,0.985,0.01,0.002,0.004
Hamblen County,9772,38600,8109.2,0.93,0.643,0.067,0.699,0.217,0.01,0.119
Hamilton County,40590,47880,9728.8,0.854,0.605,0.311,0.565,0.096,0.024,0.05
Hancock County,905,26528,9762.1,0.836,0.816,0.006,0.983,0.007,0.001,0.004
Hardeman County,3559,30260,9820.7,0.898,0.818,0.535,0.437,0.017,0.01,null
Hardin County,3417,34084,8709.4,0.875,0.751,0.059,0.908,0.023,0.004,0.002
Hawkins County,6615,37432,9131.7,0.904,0.616,0.019,0.949,0.025,0.004,0.003
Haywood County,2836,33922,9888.4,0.853,0.757,0.632,0.294,0.07,0.004,0.019
Henderson County,3635,38696,8412.5,0.963,0.614,0.081,0.896,0.022,0.001,null
Henry County,2855,38694,9285,0.94,0.603,0.072,0.9,0.023,0.004,null
Hickman County,3244,38032,8965.8,0.934,0.691,0.032,0.939,0.017,0.006,0.006
Houston County,1197,38637,9187.7,0.922,0.567,0.051,0.914,0.022,0.006,null
Humphreys County,2694,41152,8856.2,0.91,0.58,0.046,0.923,0.019,0.007,0.004
Jackson County,1440,33500,9165.8,0.846,0.834,0.009,0.971,0.015,0.001,null
Jefferson County,6829,41426,8627.7,0.946,0.621,0.032,0.889,0.07,0.006,0.038
Johnson County,1982,31711,10449.2,0.944,0.809,0.007,0.949,0.038,0.003,0.013
Knox County,55083,47543,9043,0.9,0.4,0.166,0.731,0.072,0.025,0.043
Lake County,758,29214,10813,0.852,0.77,0.302,0.664,0.033,null,0.001
Lauderdale County,4139,31185,8877.3,0.991,0.813,0.436,0.519,0.031,0.003,0.009
Lawrence County,6365,37371,8387.1,0.928,0.505,0.034,0.935,0.025,0.004,0.006
Lewis County,1718,36114,7985.1,0.863,0.721,0.033,0.93,0.024,0.006,null
Lincoln County,3741,41328,8153.4,0.964,0.57,0.034,0.914,0.042,0.005,0.012
Loudon County,4506,50619,8776.7,0.869,0.549,0.03,0.849,0.108,0.01,0.036
McMinn County,5213,39644,7869.6,0.931,0.655,0.055,0.885,0.048,0.008,0.001
McNairy County,4200,32214,7790.4,0.868,0.581,0.082,0.895,0.016,0.005,0.002
Macon County,3515,34156,8166.7,0.801,0.628,0.006,0.904,0.082,0.002,0.029
Madison County,11678,42069,9489.4,0.91,0.781,0.605,0.315,0.067,0.012,0.04
Marion County,3818,40998,8697.2,0.828,0.654,0.049,0.924,0.02,0.005,null
Marshall County,4983,41822,8583.7,0.922,0.537,0.094,0.819,0.077,0.005,0.03
Maury County,10934,46565,9106.2,0.908,0.556,0.192,0.705,0.09,0.011,0.032
Meigs County,1645,33061,8703.1,0.967,0.693,0.014,0.967,0.013,0.001,0.002
Monroe County,5126,37202,8566.8,0.947,0.656,0.025,0.916,0.049,0.006,0.002
Montgomery County,30095,50693,8675.5,0.965,0.494,0.282,0.559,0.115,0.024,0.027
Moore County,855,43393,9946.8,0.904,0.485,0.036,0.951,0.008,0.002,null
Morgan County,2962,38003,8597.9,0.958,0.684,0.01,0.974,0.011,0.003,0.003
Obion County,3329,40327,8731.7,0.879,0.591,0.056,0.894,0.045,0.004,null
Overton County,2973,34913,8426.3,0.906,0.715,0.014,0.97,0.007,0.004,null
Perry County,1053,31750,9212,0.948,0.717,0.032,0.934,0.021,0.004,null
Pickett County,698,35510,8184.2,0.952,0.653,0.008,0.965,0.023,0.004,null
Polk County,2279,39434,8629.2,0.911,0.705,0.012,0.961,0.023,0.002,null
Putnam County,10272,34780,8815.7,0.934,0.55,0.042,0.821,0.114,0.017,0.063
Rhea County,3950,37512,9006,0.812,0.701,0.021,0.894,0.077,0.004,0.029
Roane County,6576,41726,8960,0.918,0.602,0.052,0.915,0.018,0.007,null
Robertson County,11115,53748,8077.1,0.952,0.516,0.113,0.755,0.121,0.007,0.066
Rutherford County,40090,55096,8237.1,0.939,0.397,0.186,0.649,0.116,0.045,0.059
Scott County,2748,30206,8241.7,0.901,0.868,0.003,0.981,0.013,0.001,null
Sequatchie County,2116,42182,7904.6,0.772,0.681,0.006,0.926,0.05,0.005,0.016
Sevier County,13341,42499,9614.4,0.853,0.633,0.02,0.872,0.089,0.014,0.052
Shelby County,104305,46213,11221.6,0.75,0.798,0.784,0.081,0.113,0.018,0.083
Smith County,2912,43988,8324.1,0.907,0.579,0.035,0.923,0.036,0.004,0.007
Stewart County,1859,41089,9003.3,0.974,0.491,0.026,0.944,0.021,0.001,0.001
Sullivan County,9520,39577,9189.9,0.934,0.583,0.015,0.959,0.016,0.006,0.004
Sumner County,27486,56193,8402,0.916,0.367,0.108,0.805,0.065,0.018,0.02
Tipton County,10579,53133,8279.2,0.977,0.555,0.247,0.721,0.02,0.007,0.004
Trousdale County,1136,37211,8816.6,0.987,0.573,0.147,0.807,0.038,0.002,0.011
Unicoi County,2190,34346,9362,0.895,0.665,0.006,0.875,0.114,0.002,0.048
Union County,3998,36009,8802.5,0.919,0.719,0.06,0.9,0.029,0.006,0.004
Van Buren County,709,34250,9622.2,0.985,0.639,0.001,0.997,null,0.001,null
Warren County,6082,34592,8600.8,0.911,0.702,0.056,0.773,0.155,0.009,0.067
Washington County,8160,42935,8500.9,0.888,0.482,0.025,0.933,0.03,0.007,0.006
Wayne County,2085,31225,9505.6,0.952,0.436,0.012,0.967,0.017,0.002,0.001
Weakley County,4035,35845,8439.3,0.938,0.58,0.099,0.865,0.023,0.011,0.001
White County,3777,33933,7721.1,0.94,0.667,0.036,0.933,0.021,0.006,0.005
Williamson County,33612,91743,8739.7,0.955,0.096,0.05,0.829,0.053,0.058,0.017
Wilson County,15960,60095,7690.8,0.957,0.292,0.081,0.847,0.046,0.022,0.022